ch_sample,Ref_EC,Probe_type,Probe_L,L,Ka,v0,sf,v3,vf,vr,ECtopp,
[2535],0.437,BUR,20,0.2,82.54104873,3787,1.053383459,2135,2359,224,0.39796754,
[2534],0.424,BUR,20,0.2,84.51374445,3787,1.068421053,2139,2363,224,0.408242099,
[2531],0.1552,BUR,20,0.2,81.07681477,3490,7.906015038,2182,2699,517,0.170655824,
[2533],0.414,BUR,20,0.2,78.6655445,3779,1.071428571,2150,2371,221,0.383635714,
[2530],0.0796,BUR,20,0.2,81.67177272,3167,15.35864662,2099,3039,940,0.065223072,
[2528],0.007,BUR,20,0.2,26.00459133,1947,31.60902256,1791,4034,2243,0.014989949,
[2529],0.0511,BUR,20,0.2,81.72596766,2918,19.87819549,1967,3251,1284,0.029245295,
[2527],0,BUR,20,0.2,2.472477744,1747,35.92180451,2470,4095,1625,0.013169432,
[2525],0.00735,BUR,20,0.2,81.40106766,2046,28.61428571,1306,3598,2292,0.022403926,
[2521],0.424,BCT,20,0.2,54.25649302,1711,5.463909774,498,2274,1776,,
[2522],0.437,BCT,20,0.2,52.46084309,1707,5.216541353,475,2270,1795,,
[2520],0.414,BCT,20,0.2,52.00584154,1707,5.752631579,483,2275,1792,,
[2519],0.1552,BCT,20,0.2,51.66050385,1722,11.30977444,663,2335,1672,,
[2518],0.0796,BCT,20,0.2,52.91782639,1722,15.17518797,819,2491,1672,,
[2517],0.0511,BCT,20,0.2,53.35489103,1723,16.94661654,935,2655,1720,,
[2516],0.007,BCT,20,0.2,24.29097977,1775,29.12105263,1426,3791,2365,,
[2515],0.00735,BCT,20,0.2,53.92576235,1778,21.6037594,1066,3367,2301,,
[2514],0,BCT,20,0.2,2.477193961,1718,35.22030075,2274,4095,1821,,
[2507],0.437,BUR,7.8,0.078,80.74975515,3643,3.637593985,2298,2527,229,0.430452327,
[2506],0.424,BUR,7.8,0.078,80.47368781,3638,3.764661654,2294,2535,241,0.417659576,
[2505],0.414,BUR,7.8,0.078,80.88796609,3630,4.260902256,2294,2547,253,0.408123726,
[2504],0.1552,BUR,7.8,0.078,80.81884585,3214,13.94736842,2087,3003,916,0.155742457,
[2502],0.0511,BUR,7.8,0.078,79.99170745,2574,21.9924812,1567,3539,1972,0.040461135,
[2503],0.0796,BUR,7.8,0.078,80.19809319,2822,19.36917293,1786,3354,1568,0.072297616,
[2500],0.00735,BUR,7.8,0.078,78.28216697,1898,25.89097744,959,3895,2936,-0.008547904,
